Date,Price,Volume
2011-05-19,7.1,174854.9873
2011-05-20,7.28,0.0
2011-05-21,6.61,147282.94918
2011-05-22,7.45,288515.59125
2011-05-23,6.81,0.0
2011-05-24,7.51,246555.91348
2011-05-25,9.33,658607.94684
2011-05-26,7.95,0.0
2011-05-27,8.735,117323.899185
2011-05-28,8.4992,73005.9777024
2011-05-29,8.68,0.0
2011-05-30,9.4998,331557.839688
2011-05-31,9.391,395779.168538
2011-06-01,9.47,0.0
2011-06-02,14.3,930152.08
2011-06-03,17.41,889343.60904
2011-06-04,15.05,0.0
2011-06-05,19.23,1094079.92736
2011-06-06,19.06,515246.4069
2011-06-07,19.19,0.0
2011-06-08,31.5,2910528.4635
2011-06-09,35.0,2004325.645
2011-06-10,32.34,0.0
2011-06-11,24.99,5850718.50079
2011-06-12,24.5,1460526.193
2011-06-13,24.87,0.0
2011-06-14,20.0,600490.11234
2011-06-15,19.96,618741.727007
2011-06-16,19.99,0.0
2011-06-17,17.2,1024462.40702
2011-06-18,18.8766,835714.02414
2011-06-19,17.6,0.0
2011-06-20,15.5,71189.9200602
2011-06-21,15.05,42548.5715212
2011-06-22,15.39,0.0
2011-06-23,16.7501,86390.363773
2011-06-24,17.6,99286.9846107
2011-06-25,16.95,0.0
2011-06-26,18.0,875474.860824
2011-06-27,17.52,481289.408165
2011-06-28,17.89,0.0
2011-06-29,17.5,375638.674803
2011-06-30,17.0,736390.267732
2011-07-01,17.38,0.0
2011-07-02,15.7,310853.086576
2011-07-03,15.85,599886.634092
2011-07-04,15.74,0.0
2011-07-05,16.5,2035936.09959
2011-07-06,16.25,1312709.6684
2011-07-07,16.44,0.0
2011-07-08,15.0,246364.949
2011-07-09,15.68,550092.901879
2011-07-10,15.16,0.0
2011-07-11,14.63988,455700.647083
2011-07-12,14.15,175243.210195
2011-07-13,14.52,0.0
2011-07-14,14.3,300478.643024
2011-07-15,14.1,407703.304713
2011-07-16,14.25,0.0
2011-07-17,13.6901,622348.653147
2011-07-18,14.7,1463548.75213
2011-07-19,13.93,0.0
