Date,Price
2011-02-04,-0.11363636363636365
2011-02-05,0.17948717948717952
2011-02-06,-0.015380434782608643
2011-02-07,0.015620687751835227
2011-02-08,0.016304347826086918
2011-02-09,0.17647058823529416
2011-02-10,-0.11818181818181828
2011-02-11,0.1236082474226805
2011-02-12,-0.009083402146985997
2011-02-13,0.0092592592592593
2011-02-14,-0.004587155963302836
2011-02-15,-0.03208294930875577
2011-02-16,0.02838533979565616
2011-02-17,-0.027601851851851933
2011-02-18,-0.028747179081880403
2011-02-19,0.019607843137254832
2011-02-20,-0.15423076923076917
2011-02-21,-0.011483628922237421
2011-02-22,0.012077069668855245
2011-02-23,0.0794318181818181
2011-02-24,0.052742393936203946
2011-02-25,-0.040000000000000036
2011-02-26,0.0
2011-02-27,-0.011217708333333243
2011-02-28,0.011344972930719566
